index,title,release_date,vote_average
0,The Shawshank Redemption,1994-09-23,8.707
1,The Godfather,1972-03-14,8.686
2,The Godfather Part II,1974-12-20,8.568
3,Schindler's List,1993-12-15,8.563
4,12 Angry Men,1957-04-10,8.546
5,Spirited Away,2001-07-20,8.536
6,Dilwale Dulhania Le Jayenge,1995-10-20,8.519
7,The Dark Knight,2008-07-16,8.519
8,The Green Mile,1999-12-10,8.504
9,Parasite,2019-05-30,8.501
10,Pulp Fiction,1994-09-10,8.489
11,Your Name.,2016-08-26,8.484
12,The Lord of the Rings: The Return of the King,2003-12-17,8.482
13,Forrest Gump,1994-06-23,8.467
14,"The Good, the Bad and the Ugly",1966-12-22,8.461
15,GoodFellas,1990-09-12,8.456
16,Seven Samurai,1954-04-26,8.454
17,Interstellar,2014-11-05,8.453
18,Grave of the Fireflies,1988-04-16,8.5
19,Life Is Beautiful,1997-12-20,8.447
20,Fight Club,1999-10-15,8.438
21,Cinema Paradiso,1988-11-17,8.437
22,City of God,2002-08-30,8.427
23,Psycho,1960-06-22,8.423
24,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.418
25,Impossible Things,2021-06-17,8.414
26,A Dog's Will,2000-09-15,8.415
27,One Flew Over the Cuckoo's Nest,1975-11-19,8.413
28,Gabriel's Inferno,2020-05-29,8.411
29,Once Upon a Time in America,1984-05-23,8.41
30,Harakiri,1962-09-15,8.408
31,The Lord of the Rings: The Two Towers,2002-12-18,8.402
32,Counterattack,2025-02-27,8.402
33,Spider-Man: Into the Spider-Verse,2018-12-06,8.4
34,Howl's Moving Castle,2004-09-09,8.397
35,The Empire Strikes Back,1980-05-20,8.391
36,Primal: Tales of Savagery,2019-11-21,8.383
37,A Silent Voice: The Movie,2016-09-17,8.4
38,Gabriel's Inferno: Part II,2020-07-31,8.379
39,Hope,2013-10-02,8.378
40,The Pianist,2002-09-17,8.378
41,Gabriel's Inferno: Part III,2020-11-19,8.376
42,Whiplash,2014-10-10,8.374
43,Se7en,1995-09-22,8.374
44,Radical,2023-10-19,8.4
45,Inception,2010-07-15,8.369
46,Rear Window,1954-08-01,8.351
47,The Legend of Hei,2019-08-27,8.3
48,Spider-Man: Across the Spider-Verse,2023-05-31,8.3
49,The Silence of the Lambs,1991-02-14,8.345
50,American History X,1998-07-01,8.339
51,High and Low,1963-03-01,8.3
52,Lucy Shimmers and the Prince of Peace,2020-10-19,8.337
53,The Wild Robot,2024-09-12,8.3
54,Dou kyu sei – Classmates,2016-02-20,8.332
55,Princess Mononoke,1997-07-12,8.3
56,Ikiru,1952-10-09,8.3
57,Back to the Future,1985-07-03,8.318
58,The Quintessential Quintuplets Movie,2022-05-20,8.3
59,A Brighter Summer Day,1991-07-27,8.305
60,Dead Poets Society,1989-06-02,8.302
61,Léon: The Professional,1994-09-14,8.302
62,Perfect Blue,1998-02-28,8.299
63,The Great Dictator,1940-10-15,8.3
64,"Josee, the Tiger and the Fish",2020-12-25,8.3
65,Sunset Boulevard,1950-08-10,8.298
66,Dedicated to my ex,2019-11-01,8.292
67,Given,2020-08-22,8.3
68,We All Loved Each Other So Much,1974-12-21,8.283
69,Once Upon a Studio,2023-09-24,8.282
70,Once Upon a Time in the West,1968-12-21,8.282
71,Hotarubi no Mori e,2011-09-17,8.3
72,Modern Times,1936-02-05,8.281
